deaths	population
2	30398
0	11261
0	19574
0	4347
3	58090
1	23664
3	56723
8	112108
1	27049
2	30202
10	211395
1	19705
1	24126
0	21426
1	27349
1	72860
0	24413
2	24606
1	5103
0	46501
0	12368
7	136784
5	96739
1	14373
21	318800
0	41086
1	48209
11	188914
5	146675
0	3127
15	327928
0	11283
23	902837
1	52434
1	68264
4	124750
2	23095
6	89098
0	13965
1	27935
1	30488
1	19905
34	760169
3	37667
2	30391
0	12180
4	124485
2	152344
1	16296
0	5022
3	49026
2	31752
1	34012
1	13487
4	37494
1	118854
5	165095
2	94748
1	35265
34	765403
0	30562
0	4763
6	106550
4	78900
1	33719
2	13766
19	689788
3	61557
5	198574
0	4569
2	47386
2	30585
6	37118
1	16499
6	106536
5	165034
1	14599
1	63383
0	12334
0	24818
0	19101
1	12082
1	13392
2	35839
0	20135
0	10232
4	63991
0	30498
0	81908
0	10692
0	11095
7	124484
2	31335
1	30293
0	12208
1	13841
2	44020
0	7760
1	28889
0	11506
2	26257
0	26540
1	12546
0	19553
2	58628
14	272915
5	74069
1	35172
0	16972
1	84676
2	25620
3	32264
0	27622
0	18682
3	69471
1	13411
3	20631
1	2557
2	26890
1	8565
13	272317
8	107037
0	5773
1	19348
1	15161
5	90876
3	48420
1	5140
0	38357
1	6008
0	1688
0	31886
0	10792
1	17459
1	10683
0	57607
2	62105
1	43300
0	15705
3	9695
8	90067
1	13259
0	12591
0	27073
0	0
4	45157
5	133740
1	70739
0	65644
1	5923
1	22199
6	42763
0	2800
0	8545
0	28098
7	165146
0	11644
1	14223
0	14488
0	32640

