Student,Midterm,Finances,Friends Go,Forecast,Gender,Went Beach
1,0,0,0,0,0,0
2,0,0,0,1,0,0
3,0,0,0,1,0,0
4,0,0,0,1,0,0
5,0,0,0,1,0,0
6,0,0,0,1,0,0
7,0,0,0,1,1,0
8,0,0,0,1,1,0
9,0,0,0,1,1,0
10,0,0,0,1,1,0
11,0,0,0,1,1,0
12,0,0,1,1,0,0
13,0,0,1,1,0,0
14,0,0,1,1,1,0
15,0,0,1,1,1,0
16,0,0,1,1,1,0
17,0,1,0,0,0,0
18,0,1,0,0,0,0
19,0,1,0,0,0,0
20,0,1,0,0,0,0
21,0,1,0,0,0,0
22,0,1,0,1,0,0
23,0,1,0,1,0,0
24,0,1,0,1,0,0
25,0,1,0,1,0,0
26,0,1,0,1,0,0
27,0,1,0,1,0,0
28,0,1,0,1,0,0
29,0,1,0,1,0,0
30,0,1,0,1,1,0
31,0,1,0,1,1,0
32,0,1,0,1,1,0
33,0,1,0,1,1,0
34,1,0,0,0,0,0
35,1,0,0,0,0,0
36,1,0,0,0,0,0
37,1,0,0,0,0,0
38,1,0,0,1,0,0
39,1,0,0,1,0,0
40,1,0,0,1,0,0
41,1,0,0,1,0,0
42,1,0,0,1,0,0
43,1,0,0,1,0,0
44,1,0,0,1,0,0
45,1,0,0,1,0,0
46,1,0,0,1,0,0
47,1,0,0,1,1,0
48,1,0,0,1,1,0
49,1,0,0,1,1,0
50,1,0,0,1,1,0
51,1,0,1,0,1,0
52,1,0,1,0,1,0
53,1,1,0,0,0,0
54,1,1,0,0,0,0
55,1,1,0,0,0,0
56,1,1,0,0,1,0
57,1,1,0,0,1,0
58,1,1,0,1,1,0
59,1,1,0,1,1,0
60,1,1,0,1,1,0
61,0,1,1,0,0,1
62,0,1,1,0,0,1
63,0,1,1,1,0,1
64,0,1,1,1,0,1
65,0,1,1,1,1,1
66,1,0,1,0,0,1
67,1,0,1,1,0,1
68,1,0,1,1,0,1
69,1,0,1,1,0,1
70,1,0,1,1,0,1
71,1,0,1,1,0,1
72,1,0,1,1,0,1
73,1,0,1,1,0,1
74,1,0,1,1,1,1
75,1,0,1,1,1,1
76,1,0,1,1,1,1
77,1,1,0,1,0,1
78,1,1,0,1,0,1
79,1,1,0,1,0,1
80,1,1,0,1,0,1
81,1,1,0,1,0,1
82,1,1,0,1,0,1
83,1,1,0,1,0,1
84,1,1,0,1,0,1
85,1,1,0,1,0,1
86,1,1,1,0,0,1
87,1,1,1,0,0,1
88,1,1,1,0,0,1
89,1,1,1,0,1,1
90,1,1,1,1,0,1
91,1,1,1,1,0,1
92,1,1,1,1,0,1
93,1,1,1,1,0,1
94,1,1,1,1,0,1
95,1,1,1,1,0,1
96,1,1,1,1,0,1
97,1,1,1,1,1,1
98,1,1,1,1,1,1
99,1,1,1,1,1,1
100,1,1,1,1,1,1
